Date,Open,High,Low,Close,Volume
24-10-2019 16:00,61.13,61.2,60.45,60.9,17916255
25-10-2019 16:00,60.79,61.68,60.72,61.65,18369296
28-10-2019 16:00,61.86,62.31,61.68,62.26,24143241
29-10-2019 16:00,62.24,62.44,60.64,60.82,35709867
30-10-2019 16:00,61.19,61.33,60.3,60.82,31130522
31-10-2019 16:00,61.81,62.29,59.32,62.19,34790520
01-11-2019 16:00,62.39,63.98,62.29,63.96,37781334
04-11-2019 16:00,64.33,64.46,63.85,64.38,25817952
05-11-2019 16:00,64.26,64.55,64.08,64.28,19974427
06-11-2019 16:00,64.19,64.37,63.84,64.31,18966124
07-11-2019 16:00,64.69,65.09,64.53,64.86,23735083
08-11-2019 16:00,64.67,65.11,64.21,65.04,17520495
11-11-2019 16:00,64.58,65.62,64.57,65.55,20507459
12-11-2019 16:00,65.39,65.7,65.23,65.49,21847226
13-11-2019 16:00,65.28,66.19,65.27,66.12,25817593
14-11-2019 16:00,65.94,66.22,65.53,65.66,22395556
15-11-2019 16:00,65.92,66.44,65.75,66.44,25093666
18-11-2019 16:00,66.45,66.86,66.06,66.78,21700897
19-11-2019 16:00,66.97,67,66.35,66.57,19069597
20-11-2019 16:00,66.39,66.52,65.1,65.8,26609919
21-11-2019 16:00,65.92,66,65.3,65.5,30348778
22-11-2019 16:00,65.65,65.8,65.21,65.44,16331263
25-11-2019 16:00,65.68,66.61,65.63,66.59,21029517
26-11-2019 16:00,66.74,66.79,65.63,66.07,26334882
27-11-2019 16:00,66.4,67,66.33,66.96,16386122
29-11-2019 13:00,66.65,67,66.47,66.81,11654363
02-12-2019 16:00,66.82,67.06,65.86,66.04,23693550
03-12-2019 16:00,64.58,64.88,64.07,64.86,29377268
04-12-2019 16:00,65.27,65.83,65.17,65.44,16810388
05-12-2019 16:00,65.95,66.47,65.68,66.4,18661343
06-12-2019 16:00,66.87,67.75,66.83,67.68,26547493
09-12-2019 16:00,67.5,67.7,66.23,66.73,32182645
10-12-2019 16:00,67.15,67.52,66.47,67.12,22632383
11-12-2019 16:00,67.2,67.78,67.13,67.69,19723391
12-12-2019 16:00,66.94,68.14,66.83,67.86,34437042
13-12-2019 16:00,67.86,68.83,67.73,68.79,33432806
16-12-2019 16:00,69.25,70.2,69.25,69.97,32081105
17-12-2019 16:00,69.89,70.44,69.7,70.1,28575798
18-12-2019 16:00,69.95,70.47,69.78,69.94,29024687
19-12-2019 16:00,69.88,70.3,69.74,70.01,24626947
20-12-2019 16:00,70.56,70.66,69.64,69.86,69032743
23-12-2019 16:00,70.13,71.06,70.09,71,24677883
24-12-2019 13:00,71.17,71.22,70.73,71.07,12119714
26-12-2019 16:00,71.21,72.5,71.18,72.48,23334004
27-12-2019 16:00,72.78,73.49,72.03,72.45,36592936
30-12-2019 16:00,72.36,73.17,71.31,72.88,36059614
31-12-2019 16:00,72.48,73.42,72.38,73.41,25247625
02-01-2020 16:00,74.06,75.15,73.8,75.09,33911864
03-01-2020 16:00,74.29,75.15,74.13,74.36,36633878
06-01-2020 16:00,73.45,74.99,73.19,74.95,29644644
07-01-2020 16:00,74.96,75.22,74.37,74.6,27877655
08-01-2020 16:00,74.29,76.11,74.29,75.8,33090946
09-01-2020 16:00,76.81,77.61,76.55,77.41,42621542
10-01-2020 16:00,77.65,78.17,77.06,77.58,35217272
13-01-2020 16:00,77.91,79.27,77.79,79.24,30521722
14-01-2020 16:00,79.18,79.39,78.04,78.17,40653457
15-01-2020 16:00,77.96,78.88,77.39,77.83,30480882
16-01-2020 16:00,78.4,78.93,78.02,78.81,27207254
17-01-2020 16:00,79.07,79.69,78.75,79.68,34454117
21-01-2020 16:00,79.3,79.76,79,79.14,27710814
22-01-2020 16:00,79.65,80,79.33,79.43,25458115
23-01-2020 16:00,79.48,79.89,78.91,79.81,26117993
24-01-2020 16:00,80.06,80.83,79.38,79.58,36634380
27-01-2020 16:00,77.52,77.94,76.22,77.24,40485005
28-01-2020 16:00,78.15,79.6,78.05,79.42,40558486
29-01-2020 16:00,81.11,81.96,80.35,81.08,54149928
